round,name,throw,vector_clock
1,I8,90,"[0, 1, 0]"
1,I6,56,"[1, 1, 0]"
2,L1,81,"[1, 1, 1]"
2,I6,51,"[2, 1, 1]"
2,L1,89,"[2, 1, 2]"
2,I8,90,"[2, 2, 2]"
3,I6,11,"[3, 2, 2]"
3,I8,97,"[3, 3, 2]"
3,L1,20,"[3, 3, 3]"
4,I8,38,"[3, 4, 3]"
4,I6,18,"[4, 4, 3]"
4,L1,90,"[4, 4, 4]"
5,L1,24,"[4, 4, 5]"
5,I6,31,"[5, 4, 5]"
5,I8,56,"[5, 5, 5]"
6,I8,47,"[5, 6, 5]"
6,I6,69,"[6, 6, 5]"
6,L1,23,"[6, 6, 6]"
7,I6,39,"[7, 6, 6]"
7,L1,72,"[7, 6, 7]"
7,I8,56,"[7, 7, 7]"
8,I8,77,"[7, 8, 7]"
8,L1,30,"[7, 8, 8]"
8,I6,3,"[8, 8, 8]"
9,I8,47,"[8, 9, 8]"
9,I6,82,"[9, 9, 8]"
9,L1,82,"[9, 9, 9]"
10,I8,39,"[9, 10, 9]"
10,L1,52,"[9, 10, 10]"
10,I6,66,"[10, 10, 10]"
